"","X","MIC","MAS","MEV","MCN","MIC.R2","GMIC","TIC","variable"
"28",28,0.0206547757128316,0,0.0206547757128316,2,-0.016386017308121,0.0206547757128314,19.0437032072305,"Brand33"
"29",29,0.000865659431874308,0,0.000865659431874308,2,-0.000269846033311022,0.000865659431874308,0.798137996188127,"Brand34"
"30",30,0.094128065732501,0,0.094128065732501,2,-0.109706012134326,0.0941280657325027,86.7860766053661,"Brand36"
"31",31,0.0244988510644791,0,0.0244988510644791,2,-0.00760643963709908,0.0244988510644794,22.5879406814495,"Brand38"
"32",32,0.213727982184911,0,0.213727982184911,2,-0.174247829706975,0.213727982184911,197.057199574485,"Brand39"
"33",33,0.0240668750549568,0,0.0240668750549568,2,0.00513174175252134,0.0240668750549567,22.1896588006697,"Brand40"
"34",34,0.0367364834519657,0,0.0367364834519657,2,-0.0370821685204234,0.0367364834519649,33.8710377427119,"Brand42"
"35",35,0.0439832204867837,0,0.0439832204867837,2,-0.0144219702287045,0.043983220486784,40.552529288815,"Brand43"
"36",36,0.0095786965940982,0,0.0095786965940982,2,-0.0058624903051181,0.00957869659409816,8.83155825975852,"Brand44"
"37",37,0.130247880562971,0,0.130247880562971,2,-0.0738714772901186,0.130247880562972,120.088545879061,"Brand45"
"38",38,0.0532478971695331,0,0.0532478971695331,2,-0.0627331595546622,0.0532478971695336,49.09456119031,"Brand46"
"39",39,0.0207266035847353,0,0.0207266035847353,2,0.00453918037576495,0.020726603584735,19.1099285051259,"Brand47"
"40",40,0.073191101905687,0,0.073191101905687,2,-0.0794269187599502,0.0731911019056862,67.4821959570433,"Lag1.Brand0"
"41",41,0.0345666960332396,0,0.0345666960332396,2,-0.0106967876528471,0.0345666960332392,31.8704937426463,"Lag1.Brand1"
"42",42,0.0157408922809579,0,0.0157408922809579,2,0.00358165833103358,0.0157408922809579,14.513102683043,"Lag1.Brand2"
"43",43,0.00965499856957219,0,0.00965499856957219,2,0.00229619036533218,0.00965499856957229,8.90190868114565,"Lag1.Brand3"
"44",44,0.0125575030760929,0,0.0125575030760929,2,-0.00823628331325096,0.0125575030760927,11.5780178361574,"Lag1.Brand5"
"45",45,2.14467922044794e-08,0,2.14467922044794e-08,2,-8.29395487793616e-09,2.14467922044792e-08,1.97739424125301e-05,"Lag1.Brand6"
"46",46,0.0325893294892947,0,0.0325893294892947,2,0.0064622604502522,0.0325893294892939,30.0473617891294,"Lag1.Brand7"
"47",47,0.0482900977661363,0,0.0482900977661363,2,-0.00916112393247023,0.0482900977661365,44.5234701403777,"Lag1.Brand8"
"48",48,0.0573593160503716,0,0.0573593160503716,2,-0.0357098890763515,0.0573593160503705,52.8852893984437,"Lag1.Brand9"
"49",49,0.0175214853001101,0,0.0175214853001101,2,-0.0105406486849978,0.0175214853001103,16.1548094467013,"Lag1.Brand10"
"50",50,0.00870304881388184,0,0.00870304881388184,2,0.00208368031677295,0.00870304881388169,8.02421100639892,"Lag1.Brand11"
"51",51,0.000737216180023793,0,0.000737216180023793,2,-0.000348738822452153,0.000737216180023788,0.679713317981934,"Lag1.Brand13"
"52",52,0.00478943995882255,0,0.00478943995882255,2,0.00117792285623427,0.00478943995882251,4.41586364203438,"Lag1.Brand14"
"53",53,0.00620152375417427,0,0.00620152375417427,2,0.00151066252890067,0.00620152375417424,5.71780490134862,"Lag1.Brand15"
"54",54,0.0110705461174729,0,0.0110705461174729,2,-0.00522449421940827,0.0110705461174726,10.2070435203101,"Lag1.Brand17"
