"","variables","cases","total_successes","total_failures","hiper_count_overall","hiper_count_fail","hiper_count_success","mean_overall","mean_fail","mean_success","success_odds","fail_odds","odds_ratio","log10_odds_ratio"
"DiffLag1.cloth_share.medium","DiffLag1.cloth_share.medium",69,9,60,104,88,16,1.50724637681159,1.46666666666667,1.77777777777778,-2.28571428571429,-3.14285714285714,0.727272727272727,-0.138302698166281
"DiffLag1.cloth_share.high","DiffLag1.cloth_share.high",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.gauze_share.low","DiffLag1.gauze_share.low",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.gauze_share.medium","DiffLag1.gauze_share.medium",69,9,60,104,89,15,1.50724637681159,1.48333333333333,1.66666666666667,-2.5,-3.06896551724138,0.814606741573034,-0.0890520000739191
"DiffLag1.gauze_share.high","DiffLag1.gauze_share.high",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.heating.moisturizing_share.low","DiffLag1.heating.moisturizing_share.low",69,9,60,86,77,9,1.2463768115942,1.28333333333333,1,0,-4.52941176470588,0,0
"DiffLag1.heating.moisturizing_share.medium","DiffLag1.heating.moisturizing_share.medium",69,9,60,104,86,18,1.50724637681159,1.43333333333333,2,-2,-3.30769230769231,0.604651162790698,-0.218495107608769
"DiffLag1.heating.moisturizing_share.high","DiffLag1.heating.moisturizing_share.high",69,9,60,86,77,9,1.2463768115942,1.28333333333333,1,0,-4.52941176470588,0,0
"DiffLag1.nonwoven_share.low","DiffLag1.nonwoven_share.low",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.nonwoven_share.medium","DiffLag1.nonwoven_share.medium",69,9,60,104,88,16,1.50724637681159,1.46666666666667,1.77777777777778,-2.28571428571429,-3.14285714285714,0.727272727272727,-0.138302698166281
"DiffLag1.nonwoven_share.high","DiffLag1.nonwoven_share.high",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.urethane_share.low","DiffLag1.urethane_share.low",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.urethane_share.medium","DiffLag1.urethane_share.medium",69,9,60,104,88,16,1.50724637681159,1.46666666666667,1.77777777777778,-2.28571428571429,-3.14285714285714,0.727272727272727,-0.138302698166281
"DiffLag1.urethane_share.high","DiffLag1.urethane_share.high",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.bigger.low","DiffLag1.bigger.low",69,9,60,86,71,15,1.2463768115942,1.18333333333333,1.66666666666667,-2.5,-6.45454545454545,0.387323943661972,-0.411925654888813
"DiffLag1.bigger.medium","DiffLag1.bigger.medium",69,9,60,104,94,10,1.50724637681159,1.56666666666667,1.11111111111111,-10,-2.76470588235294,3.61702127659574,0.558351063442556
"DiffLag1.bigger.high","DiffLag1.bigger.high",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.kids.low","DiffLag1.kids.low",69,9,60,86,73,13,1.2463768115942,1.21666666666667,1.44444444444444,-3.25,-5.61538461538461,0.578767123287671,-0.237496146834745
"DiffLag1.kids.medium","DiffLag1.kids.medium",69,9,60,104,94,10,1.50724637681159,1.56666666666667,1.11111111111111,-10,-2.76470588235294,3.61702127659574,0.558351063442556
"DiffLag1.kids.high","DiffLag1.kids.high",69,9,60,86,73,13,1.2463768115942,1.21666666666667,1.44444444444444,-3.25,-5.61538461538461,0.578767123287671,-0.237496146834745
"DiffLag1.other.low","DiffLag1.other.low",69,9,60,86,73,13,1.2463768115942,1.21666666666667,1.44444444444444,-3.25,-5.61538461538461,0.578767123287671,-0.237496146834745
"DiffLag1.other.medium","DiffLag1.other.medium",69,9,60,104,92,12,1.50724637681159,1.53333333333333,1.33333333333333,-4,-2.875,1.39130434782609,0.143422142302313
"DiffLag1.other.high","DiffLag1.other.high",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.regular.low","DiffLag1.regular.low",69,9,60,86,72,14,1.2463768115942,1.2,1.55555555555556,-2.8,-6,0.466666666666667,-0.330993219041424
"DiffLag1.regular.medium","DiffLag1.regular.medium",69,9,60,104,95,9,1.50724637681159,1.58333333333333,1,0,-2.71428571428571,0,0
"DiffLag1.regular.high","DiffLag1.regular.high",69,9,60,86,73,13,1.2463768115942,1.21666666666667,1.44444444444444,-3.25,-5.61538461538461,0.578767123287671,-0.237496146834745
"DiffLag1.smaller.low","DiffLag1.smaller.low",69,9,60,86,71,15,1.2463768115942,1.18333333333333,1.66666666666667,-2.5,-6.45454545454545,0.387323943661972,-0.411925654888813
